policy_id,line_of_business,exposure_premium,accident_year,development_year,incremental_paid,cumulative_paid,incremental_incurred,cumulative_incurred,reported_year
P0001,Health,12828.63,2005,1,5162.07,5162.07,3485.56,3485.56,2005
P0001,Health,12828.63,2005,2,22425.5,27587.57,8571.92,12057.47,2006
P0001,Health,12828.63,2005,3,1211.47,28799.05,6266.8,18324.28,2007
P0001,Health,12828.63,2005,4,3146.17,31945.22,9988.67,28312.95,2008
P0001,Health,12828.63,2005,5,2871.04,34816.26,5075.54,33388.48,2009
P0001,Health,12828.63,2005,6,7120.15,41936.41,10082.25,43470.74,2010
P0001,Health,12828.63,2005,7,2158.1,44094.52,4351.83,47822.57,2011
P0001,Health,12828.63,2005,8,3585.78,47680.3,3481.34,51303.91,2012
P0001,Health,12828.63,2005,9,17205.96,64886.26,7302.64,58606.55,2013
P0001,Health,12828.63,2005,10,2068.49,66954.75,10456.79,69063.34,2014
P0001,Health,12828.63,2006,1,22086.07,22086.07,11330.22,11330.22,2006
P0001,Health,12828.63,2006,2,1726.12,23812.2,3918.8,15249.02,2007
P0001,Health,12828.63,2006,3,12137.21,35949.41,3351.4,18600.42,2008
P0001,Health,12828.63,2006,4,6821.72,42771.12,9459.24,28059.66,2009
P0001,Health,12828.63,2006,5,2613.23,45384.35,5275.54,33335.2,2010
P0001,Health,12828.63,2006,6,517.14,45901.49,2684.99,36020.19,2011
P0001,Health,12828.63,2006,7,4189.75,50091.24,2296.3,38316.49,2012
P0001,Health,12828.63,2006,8,15675.92,65767.16,2021.11,40337.6,2013
P0001,Health,12828.63,2006,9,3674.46,69441.62,6027.1,46364.71,2014
P0001,Health,12828.63,2006,10,13712.79,83154.41,2013.04,48377.74,2015
P0001,Health,12828.63,2007,1,11287.01,11287.01,5539.54,5539.54,2007
P0001,Health,12828.63,2007,2,2515.27,13802.28,7600.55,13140.09,2008
P0001,Health,12828.63,2007,3,5747.58,19549.87,3613.21,16753.3,2009
P0001,Health,12828.63,2007,4,5250.37,24800.24,4199.77,20953.06,2010
P0001,Health,12828.63,2007,5,5413.52,30213.77,8742.88,29695.94,2011
P0001,Health,12828.63,2007,6,15175.01,45388.77,2312.38,32008.32,2012
P0001,Health,12828.63,2007,7,22254.88,67643.65,1402.54,33410.86,2013
P0001,Health,12828.63,2007,8,4496.0,72139.65,8302.61,41713.48,2014
